symbol,total_trades,total_net_pnl,expectancy,cost_adj_expectancy,rank_A_plus,rank_A,rank_B,rank_C,rank_REJECT
US30,3,1926.0697075722896,642.0232358574299,622.946284426748,3,0,0,0,1
XAUUSD,3,113.88469864008721,37.9615662133624,36.957516138063355,3,0,0,0,1
US500,3,5.723106174641899,1.9077020582139663,1.8574995544490138,3,0,0,0,1
USDCAD,3,5.712443954864554,1.9041479849548513,1.853945481189899,3,0,0,0,1
US100,3,5.7111370862411235,1.9037123620803744,1.8535098583154221,3,0,0,0,1
AUDUSD,3,5.705448373798404,1.901816124599468,1.8516136208345157,3,0,0,0,1
USDCHF,3,5.688771833280256,1.8962572777600855,1.8460547739951332,3,0,0,0,1
USDJPY,3,-2.0425102170911487,-0.6808367390303829,-1.1365725964031137,3,0,0,0,107
GBPUSD,3,-2.1118771185687137,-0.7039590395229046,-1.1596948968956353,3,0,0,0,107
EURUSD,3,-2.1667809324969767,-0.7222603108323256,-1.1779961682050564,3,0,0,0,107
