symbol,verdict,total_trades,net_pnl,profit_factor,sharpe_ratio,max_drawdown_pct,monte_carlo_95_dd,ruin_probability,best_setup,best_session,volatility_pref
US30,APPROVED,3,1926.0697075722892,inf,83.16278848115672,0.0,0.0,0.0,mean reversion,Asia,LOW_VOLATILITY
XAUUSD,APPROVED,3,113.88469864008766,inf,909.1210329390225,0.0,0.0,0.0,mean reversion,Asia,LOW_VOLATILITY
US500,APPROVED,3,5.723106174642453,inf,752.6001543876348,0.0,0.0,0.0,mean reversion,Asia,LOW_VOLATILITY
USDCAD,APPROVED,3,5.712443954866103,inf,1015.8690645873676,0.0,0.0,0.0,mean reversion,Asia,LOW_VOLATILITY
US100,APPROVED,3,5.711137086240342,inf,995.4178526791684,0.0,0.0,0.0,mean reversion,Asia,LOW_VOLATILITY
AUDUSD,APPROVED,3,5.705448373797481,inf,971.9303807483464,0.0,0.0,0.0,mean reversion,Asia,LOW_VOLATILITY
USDCHF,APPROVED,3,5.688771833280043,inf,1074.7450508610088,0.0,0.0,0.0,mean reversion,Asia,LOW_VOLATILITY
GBPUSD,DISABLED,0,0.0,0.0,0.0,0.0,0.0,0.0,mean reversion,Asia,LOW_VOLATILITY
EURUSD,DISABLED,0,0.0,0.0,0.0,0.0,0.0,0.0,mean reversion,Asia,LOW_VOLATILITY
USDJPY,DISABLED,0,0.0,0.0,0.0,0.0,0.0,0.0,mean reversion,Asia,LOW_VOLATILITY
