symbol,timestamp,initial_capital,ending_equity,realized_pnl,profit_factor,max_drawdown_pct,max_consecutive_losses,sharpe_ratio,sortino_ratio,monte_carlo_median_dd,monte_carlo_95_dd,ruin_probability,verdict
USDCHF,2026-05-22T19:50:22.437132,10000.0,10005.68877183328,5.688771833280043,inf,0.0,0,1074.7450508610088,0.0,0.0,0.0,0.0,INSTITUTIONAL_READY
USDCAD,2026-05-22T19:49:59.831627,10000.0,10005.712443954866,5.712443954866103,inf,0.0,0,1015.8690645873676,0.0,0.0,0.0,0.0,INSTITUTIONAL_READY
US100,2026-05-22T19:50:57.292872,10000.0,10005.71113708624,5.711137086240342,inf,0.0,0,995.4178526791684,0.0,0.0,0.0,0.0,INSTITUTIONAL_READY
AUDUSD,2026-05-22T19:49:36.802130,10000.0,10005.705448373797,5.705448373797481,inf,0.0,0,971.9303807483464,0.0,0.0,0.0,0.0,INSTITUTIONAL_READY
XAUUSD,2026-05-22T19:51:38.496316,10000.0,10113.884698640088,113.88469864008766,inf,0.0,0,909.1210329390225,0.0,0.0,0.0,0.0,INSTITUTIONAL_READY
US500,2026-05-22T19:51:15.051662,10000.0,10005.723106174642,5.723106174642453,inf,0.0,0,752.6001543876348,0.0,0.0,0.0,0.0,INSTITUTIONAL_READY
US30,2026-05-22T19:50:44.910890,10000.0,11926.06970757229,1926.0697075722892,inf,0.0,0,83.16278848115672,0.0,0.0,0.0,0.0,INSTITUTIONAL_READY
USDJPY,2026-05-22T19:49:13.767499,10000.0,9997.95748978291,-2.042510217090239,0.8933178671152048,0.19113067679168202,2,-0.8593756758962973,-49.46525097524728,0.19294933354121302,0.1970392413398724,0.0,DISABLED
GBPUSD,2026-05-22T19:47:55.198514,10000.0,9997.888122881432,-2.1118771185683727,0.8898179291379257,0.1913452314912723,2,-0.889782920379423,-45.97589741349685,0.19400568246874977,0.1973636605965315,0.0,DISABLED
EURUSD,2026-05-22T19:48:28.988141,10000.0,9997.833219067503,-2.166780932497204,0.8874867260465858,0.19225144569452446,2,-0.910169341633937,-56.18344749994404,0.19454055797236836,0.19808584470422771,0.0,DISABLED
